"행정구역별(읍면동)",2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"행정구역별(읍면동)",총인구 (명),남자 (명),여자 (명),내국인-계 (명),내국인-남자 (명),내국인-여자 (명),외국인-계 (명),외국인-남자 (명),외국인-여자 (명),가구-계 (가구),일반가구 (가구),집단가구 (가구),외국인가구 (가구),주택-계 (호),단독주택 (호),아파트 (호),연립주택 (호),다세대주택 (호),비거주용 건물내 주택 (호),주택이외의 거처 (호)
"부산진구",352390,169565,182825,349015,168185,180830,3375,1380,1995,153322,152433,70,819,137886,23795,90152,1652,20834,1453,11004
"동래구",260986,126910,134076,259605,126369,133236,1381,541,840,103600,103176,38,386,93805,12859,63921,2724,13003,1298,4846
"남구",278849,137062,141787,271366,133232,138134,7483,3830,3653,113506,111594,72,1840,107984,18056,63837,3157,21966,968,3704
"북구",285098,140888,144210,281975,139449,142526,3123,1439,1684,113002,112242,41,719,106359,7378,86331,2321,9648,681,2079
"해운대구",392846,190184,202662,387764,187573,200191,5082,2611,2471,157561,156230,46,1285,143894,12262,114064,2502,14152,914,13114
"사하구",319828,159399,160429,313995,155824,158171,5833,3575,2258,130005,128548,68,1389,117239,17484,81660,5124,11925,1046,5023
"금정구",244726,119368,125358,239104,116936,122168,5622,2432,3190,103039,101294,93,1652,86185,16032,47956,3091,17785,1321,3905
"강서구",128809,68244,60565,122060,62519,59541,6749,5725,1024,48509,47138,52,1319,43718,8762,33592,290,658,416,2891
"연제구",203959,98035,105924,202851,97589,105262,1108,446,662,83732,83398,33,301,73078,10644,49372,1520,10639,903,4856
"수영구",170414,80762,89652,168562,79836,88726,1852,926,926,74773,74187,33,553,67214,10109,36126,2206,18009,764,4216
"사상구",222618,111847,110771,215898,108251,107647,6720,3596,3124,91625,90171,58,1396,76320,9714,56929,788,8001,888,3704
"기장군",160732,79609,81123,158011,77736,80275,2721,1873,848,62769,62178,39,552,59828,8295,45509,1510,3860,654,1858
"대구광역시",2429940,1203754,1226186,2389848,1181573,1208275,40092,22181,17911,979852,968620,559,10673,800340,147565,579777,9438,52880,10680,20910
"읍부",236543,120694,115849,229372,116242,113130,7171,4452,2719,89039,87069,54,1916,86231,8627,74494,579,1716,815,2135
"면부",21931,11597,10334,20400,10370,10030,1531,1227,304,9018,8682,25,311,8780,4360,3843,86,336,155,564
"동부",2171466,1071463,1100003,2140076,1054961,1085115,31390,16502,14888,881795,872869,480,8446,705329,134578,501440,8773,50828,9710,18211
"중구",75561,36413,39148,74662,35964,38698,899,449,450,34523,34207,41,275,25874,6695,16541,628,1153,857,3101
"동구",337439,165927,171512,334898,165031,169867,2541,896,1645,139879,139168,80,631,120976,23536,80399,2308,12955,1778,3491
"서구",175243,87869,87374,171891,86010,85881,3352,1859,1493,75067,73980,48,1039,53200,22373,17970,760,10916,1181,1146
